ds,yhat,yhat_lower,yhat_upper
2023-01-02,1141.5058358301642,1104.1687131016517,1179.5641894068735
2023-01-03,1134.9656140429713,1095.1594930721944,1172.0050869974393
2023-01-04,1134.968245807675,1099.7554436895302,1175.1455692515035
2023-01-05,1133.6470088414094,1095.7461869120832,1171.3011642734468
2023-01-06,1134.1602547479472,1095.746243995975,1172.7393130544706
2023-01-09,1132.667126555017,1092.9546660483074,1167.9401982814147
2023-01-10,1126.1269047678286,1087.3936293512897,1164.8631792622612
2023-01-11,1126.1295365325223,1090.3715173819664,1163.6237648837266
2023-01-12,1124.808299566274,1086.3394499142905,1163.5294350217114
2023-01-13,1125.3215454728102,1089.5599994511517,1165.9068031401378
2023-01-16,1123.8284172798863,1086.8973343467414,1165.7786988585594
2023-01-17,1117.2881954926813,1080.3050309030689,1154.7190344984745
2023-01-18,1117.290827257378,1079.6033863132313,1153.9323985255296
2023-01-19,1115.9695902911255,1078.4225298435083,1154.4386567526533
2023-01-20,1116.4828361976663,1079.246987064087,1154.5193691987772
2023-01-23,1114.9897080047401,1078.1285631514752,1155.1530318428233
2023-01-24,1108.4494862175343,1071.163111802272,1144.3789829881941
2023-01-25,1108.4521179739215,1072.152016587341,1144.853389459041
2023-01-27,1107.64412689757,1072.9079346531505,1144.3483283937867
2023-01-30,1106.1509986796932,1066.5573336609043,1143.7748229031683
2023-01-31,1099.6107768841737,1063.3247666388654,1137.4728238861717
2023-02-01,1099.613408640558,1062.6769995987358,1137.1828772590602
2023-02-02,1098.2921716659932,1059.2975176101315,1135.6092122555176
2023-02-03,1098.8054175642037,1061.749927788192,1139.0747882385085
2023-02-06,1097.3122893463305,1059.5835957217428,1136.8835130251725
2023-02-07,1090.7720675508185,1053.9519821911247,1130.6666648635078
2023-02-08,1090.7746993072028,1052.5959649310412,1130.4187807305939
2023-02-09,1089.4534623326358,1048.3263788525908,1132.4912411841244
2023-02-10,1089.966708230851,1051.3093929525735,1127.4233880587274
2023-02-13,1088.4735800129681,1050.5194924739865,1125.467680406897
2023-02-14,1081.9333582174622,1044.5108331215347,1119.5218480011306
2023-02-15,1081.9359899738379,1045.0980567848512,1119.7392454926028
2023-02-16,1080.6147551514562,1042.7304388496377,1118.2810653591514
2023-02-17,1081.1280032018599,1045.8452118608966,1119.247547321901
2023-02-20,1079.6348814405262,1040.8060469664367,1116.9330680143446
2023-02-21,1073.0946617972045,1033.7159215818729,1113.102154820252
2023-02-22,1073.0972957057716,1034.6172932005845,1110.284171104941
2023-02-23,1071.7760608833835,1035.2526611741528,1110.4087810107187
2023-02-24,1072.2893089337797,1034.8042798026345,1111.8598175113361
2023-02-27,1070.7961871724517,1034.280903782662,1106.147855542989
2023-02-28,1064.2559675291407,1029.6618083276735,1101.8483185272798
2023-03-01,1064.258601437705,1028.0059369312091,1101.3340325044069
2023-03-02,1062.9373666153085,1024.3586451382735,1099.181567561703
2023-03-03,1063.450614665709,1025.7223359519448,1099.252267532755
2023-03-06,1061.9574929043952,1022.3690840502692,1101.3208220142558
2023-03-08,1055.419907169629,1015.9131006326335,1092.390493215073
2023-03-09,1054.0986723472463,1016.562793931634,1090.8871205759137
2023-03-10,1054.6119203976384,1015.8510395349756,1093.9766554446028
2023-03-13,1056.857363443796,1017.6008001561418,1094.6518043622746
2023-03-14,1051.5633320696274,1014.521563030753,1089.1426471426023
2023-03-15,1052.8121542473532,1014.8027261985749,1092.1372986150354
2023-03-16,1052.7371076941201,1016.6659226687796,1089.8138589500488
2023-03-17,1054.496544013675,1014.6982361807532,1088.0031448051898
2023-03-20,1056.74198705983,1019.2444768533439,1095.4590587054252
2023-03-21,1051.4479556856631,1014.2960398878234,1088.5359525347917
2023-03-22,1052.6967778633857,1011.3219186457371,1088.1177238753696
2023-03-23,1052.6217313101524,1017.9269786303639,1089.9343499559752
2023-03-24,1054.3811676297184,1016.6363798428225,1092.258742475483
2023-03-27,1056.62661067588,1020.0497297389786,1095.1411311099582
2023-03-28,1051.3325793016986,1016.5740030400051,1090.411704851427
2023-03-29,1052.5814014794264,1015.1106984138877,1086.1154743402453
2023-03-31,1054.2657912457482,1020.8050516151408,1093.1880226442725
2023-04-03,1056.5112342919135,1019.4931925530298,1095.110829156616
2023-04-05,1052.4660250954623,1015.823079501206,1089.3423952963933
2023-04-06,1054.0378782844653,1016.7952659629734,1091.6041956497795
2023-04-10,1064.6303566191443,1025.9812410796944,1101.5243387776281
2023-04-11,1060.9832249872077,1023.4071985636335,1096.1133383369329
2023-04-12,1063.878946907176,1026.7674765839358,1100.1460161870405
2023-04-13,1065.4508000961878,1027.3922817162095,1099.1510586499062
2023-04-17,1076.0432784308546,1038.1777392349888,1112.1169931252466
2023-04-18,1072.3961467989263,1035.4067010848883,1110.4868864354669
2023-04-19,1075.2918687188894,1034.8797838778835,1113.538084782139
2023-04-20,1076.8637219078978,1038.809540196123,1114.804855946237
2023-04-21,1080.2700579696966,1045.9273902543669,1118.0122156651012
2023-04-24,1087.4562002425666,1050.0963239742268,1125.1847985216657
2023-04-25,1083.8090686106393,1047.7505842685332,1120.092254180949
2023-04-26,1086.7047905305997,1048.8401908823805,1121.8224071165303
2023-04-27,1088.2766437196137,1049.6670065165533,1126.101694951983
2023-04-28,1091.6829797814175,1054.186389581055,1129.7478691716785
2023-05-02,1095.2219907770425,1060.4763507839825,1134.4556896325703
2023-05-03,1098.1177127856786,1061.367868411581,1138.6747335670696
2023-05-04,1099.6895660633645,1061.5481596660431,1135.7939899341873
2023-05-05,1103.0959022138368,1066.0075227116615,1141.599302973497
2023-05-08,1110.282044752719,1074.5142587805344,1149.1563732631655
2023-05-09,1106.6349132094654,1066.68399314719,1144.5167102776268
2023-05-10,1109.5306352181087,1068.4955306628137,1145.8688024132734
2023-05-11,1111.1024884957928,1075.9258171647032,1145.6216984435769
2023-05-12,1114.5088246462697,1074.488349087378,1151.1739095742923
2023-05-15,1121.694967185159,1083.8449649998372,1157.373333080404
2023-05-16,1118.0478356418926,1078.5050690742778,1155.106342346424
2023-05-17,1120.9435576505293,1084.996901991166,1160.0040834865213
2023-05-18,1122.5154109282141,1087.2341419262996,1161.2815929002297
2023-05-19,1125.9217470786957,1088.3902164737037,1162.4132919613053
2023-05-22,1133.107889617582,1095.4083889314563,1170.0592130594564
2023-05-23,1129.460758074315,1092.6446768689877,1168.265022287604
2023-05-24,1132.3564823940426,1095.3051316503386,1170.222119361917
2023-05-25,1133.9283379828084,1098.5054453247835,1168.0037050576848
2023-05-26,1137.334676444361,1098.332610238908,1173.3865987376066
2023-05-29,1144.5208259165022,1110.829026069891,1182.4568599304027
2023-05-30,1140.8736966843314,1102.0043019217112,1177.5342602062763
2023-05-31,1143.7694210040459,1103.7026031488372,1179.2178354529042
2023-06-01,1145.3412765928113,1107.760518367571,1181.1653649666116
2023-06-02,1148.7476150543685,1111.5572365552457,1186.4096763075731
2023-06-05,1155.9337645265064,1120.6621558352722,1194.5910759453755
2023-06-06,1152.2866352943356,1113.4919794865061,1188.5046866947473
2023-06-07,1155.1823596140525,1117.8886154680886,1194.637534907366
2023-06-08,1156.754215202827,1118.0304500325,1191.1492445989234
2023-06-09,1160.160553664376,1122.2040258928191,1198.2218426922116
2023-06-12,1167.3467031365099,1130.704633019856,1205.07927239581
2023-06-13,1163.6995739043418,1126.874498406559,1197.412481919415
2023-06-14,1166.5952982291528,1127.1640511230207,1201.350150828077
2023-06-15,1168.1671538230173,1129.7819279671992,1206.338837847986
2023-06-16,1171.5734922896543,1132.5243902652273,1209.0276695291395
2023-06-19,1178.759641777077,1142.8493485992726,1219.4331859200884
2023-06-20,1175.1125125500034,1140.2648989784632,1215.665329157275
2023-06-21,1178.0082368748199,1141.9291542849833,1214.4253630596188
2023-06-22,1179.5800924686782,1144.6081117519245,1216.8206740220032
2023-06-23,1182.986430935324,1147.0281115859334,1221.8420792049217
2023-06-26,1190.172580422754,1152.6902856406757,1229.3498450283712
2023-06-27,1186.525451195673,1150.2841723111683,1224.7822062304135
2023-06-28,1189.4211755204867,1151.1920541568502,1228.3691354197035
2023-06-30,1194.39936958098,1158.2438695405658,1233.6856802256236
2023-07-03,1201.5855190684138,1164.179336643913,1238.6891058204403
2023-07-04,1197.9383898413325,1159.9463163716775,1235.0231819962125
2023-07-05,1200.8341141661488,1165.4059379954858,1239.6068014912018
2023-07-06,1202.4059697600078,1165.872123668751,1238.9964509460433
2023-07-07,1205.8123081984122,1163.8895455114935,1243.8102337301168
2023-07-10,1212.998457601121,1176.6848005471325,1248.9930299668772
2023-07-11,1209.3513283458071,1171.4457907648334,1249.8181858978394
2023-07-12,1212.2470526423838,1175.8170207040814,1249.7558092228169
2023-07-13,1213.8189082080034,1177.508768427996,1251.7482283025627
2023-07-14,1217.22524664641,1181.7688028959403,1255.75519176592
2023-07-17,1224.4113960491154,1187.2923311548602,1261.323048459977
2023-07-18,1220.7642667938014,1185.1873127059857,1258.5909128132594
2023-07-19,1223.6599910903776,1185.8032012442925,1261.1627984014772
2023-07-20,1225.2318466560032,1188.0675908551023,1263.0722388950232
2023-07-21,1228.6381850944144,1188.9093678437691,1267.235643957345
2023-07-24,1235.8243344971272,1198.7002388042854,1271.4815603920424
2023-07-25,1232.177205241798,1194.4052190016178,1269.5043443432428
2023-07-26,1235.0729295383794,1199.8936782045184,1273.4905392145079
2023-07-27,1236.6447851039964,1198.377419066334,1272.1483247160481
2023-07-28,1240.0511235424121,1199.7429612699411,1277.2278250496872
2023-07-31,1240.868225561497,1202.5386471623822,1275.680316083682
2023-08-01,1235.0980805116262,1197.936853939564,1274.2625656321036
2023-08-02,1235.8707890136636,1197.269213596896,1272.7911049000418
2023-08-03,1235.3196287847534,1198.9466797543082,1272.5393539301563
2023-08-04,1236.602951428609,1198.7392358288087,1272.812201427928
2023-08-07,1237.4200534477,1198.292674653352,1274.2732775679206
2023-08-08,1231.6499083978317,1192.8084721439038,1264.8386896874345
2023-08-09,1232.4226168998714,1194.6633224806526,1268.441306914063
2023-08-10,1231.8714566709555,1197.031259105107,1270.267360857978
2023-08-11,1233.1547793148156,1196.7433759624444,1271.6651977926322
2023-08-14,1233.9718813339043,1195.8956274028228,1268.3187024685374
2023-08-16,1228.9744447860728,1189.7617143974146,1263.1557639725593
2023-08-17,1228.4232845571578,1192.3661351620758,1264.8795018583162
